session_name,ID,trial_round,time_end,total_distance,mean_velocity,incorrect_entries,time_to_decision_zone_1,time_to_correct_zone_1,time_to_incorrect_zone_1,time_to_decision_zone_2,time_to_incorrect_zone_2,time_to_correct_zone_2,group,tank,frame_rate,pixels_per_cm,cam,batch,day,link,orientation,jar_ID,treatment,sex,Notes,std_length,unique_id,tanks3&4_release,tanks1&2_release,start,wrong_start,missing_fish
cam1-b1-d4-t2_edit_tank3,cam1-b1-d4 3,2,169.1,186.29797969188786,1.101703014144813,3,53.56,162.34,14.8,166.8,NA,172.9,cam1-b1-d4,3,50,16.899789758061818,1,1,4,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d4-t2,2221,2339,2411,NA,NA
cam1-b1-d4-t2_edit_tank4,cam1-b1-d4 4,2,21.94,68.26180467141602,3.1112946522979037,1,45.86,15.620000000000001,7.84,19.44,NA,25.740000000000002,cam1-b1-d4,4,50,16.899789758061818,1,1,4,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d4-t2,2221,2339,2411,NA,NA
cam1-b1-d4-t3_edit_tank1,cam1-b1-d4 1,3,25.68,105.18238396777508,4.095887226159466,2,1.6,14.799999999999999,5.48,16.2,18.46,26.7,cam1-b1-d4,1,50,16.899789758061818,1,1,4,1-1-1,L,109,l,M,NA,15.327902833351308,cam1-b1-d4-t3,2867,3053,3104,NA,NA
cam1-b1-d4-t3_edit_tank2,cam1-b1-d4 2,3,93.1,115.20988568841175,1.2374853457401906,3,32.36,69.36,34.480000000000004,73.46,78.88,94.11999999999999,cam1-b1-d4,2,50,16.899789758061818,1,1,4,1-1-2,L,11,l,F,NA,15.742474245573028,cam1-b1-d4-t3,2867,3053,3104,NA,NA
cam1-b1-d4-t3_edit_tank3,cam1-b1-d4 3,3,31.5,50.26946608396127,1.5958560661575005,0,65.62,17,NA,26.299999999999997,NA,36.24,cam1-b1-d4,3,50,16.899789758061818,1,1,4,1-1-3,R,110,l,F,NA,16.67882770705346,cam1-b1-d4-t3,2867,3053,3104,NA,NA
cam1-b1-d4-t3_edit_tank4,cam1-b1-d4 4,3,58.78,167.062124023363,2.842159306283821,2,57.86000000000001,6.58,31.479999999999997,12.58,14.120000000000001,63.52,cam1-b1-d4,4,50,16.899789758061818,1,1,4,1-1-4,R,16,l,M,NA,15.71085811458519,cam1-b1-d4-t3,2867,3053,3104,NA,NA
cam1-b2-d1-t1_edit_tank1,cam1-b2-d1 1,1,65.66,119.7464132808122,1.8237345915445051,7,14.6,56.440000000000005,18.720000000000002,59.64,NA,66.75999999999999,cam1-b2-d1,1,50,17.0290144190932,1,2,1,1-2-1,R,32,h,M,NA,18.451336165949794,cam1-b2-d1-t1,2428,2540,2595,NA,NA
cam1-b2-d1-t1_edit_tank2,cam1-b2-d1 2,1,28.62,45.49686453557778,1.589687789503067,0,6.32,15.139999999999999,NA,20.1,NA,29.720000000000002,cam1-b2-d1,2,50,17.0290144190932,1,2,1,1-2-2,R,33,h,F,NA,16.169064982660988,cam1-b2-d1-t1,2428,2540,2595,NA,NA
cam1-b2-d1-t1_edit_tank3,cam1-b2-d1 3,1,43.34,89.4339195020139,2.063542212782969,1,51.32,33.92,21.76,40.099999999999994,NA,46.68000000000001,cam1-b2-d1,3,50,17.0290144190932,1,2,1,1-2-3,L,122,h,F,NA,17.346317021854187,cam1-b2-d1-t1,2428,2540,2595,NA,NA
cam1-b2-d1-t1_edit_tank4,cam1-b2-d1 4,1,28.1,56.651944856159304,2.0160834468384095,0,51.92,20.08,NA,22.94,NA,31.44,cam1-b2-d1,4,50,17.0290144190932,1,2,1,1-2-4,L,34,h,M,NA,14.713817757018594,cam1-b2-d1-t1,2428,2540,2595,NA,NA
